3-d;"etando mísátoabbreviation"
dropped;"ya kotíka, etíkámídropping"
dropping;""
druid;""
dual;""
due;"ya ntángo esɛngɛ́lí"
dumb terminal;""
dummy;""
dump;""
duplex;""
duplicate slide;""
duplicate...;""
duplicate;"kodiplikɛ"
duration;"boúmeli"
dutch;""
dvd+r disc;""
dvd+r;""
dvd+rw disc;""
dvd+rw;""
dvd-r disc;""
dvd-r;""
dvd-ram disc;""
dvd-ram;""
dvd-rom disc;""
dvd-rom;""
dvd-rw disc;""
dvd-rw;""
dvd;"dívídí"
dynamic;"dinamiki"
e-book (electronic book);"búku ya élektroniki"
e-commerce (electronic commerce);""
e-commerce / electronic commerce;"mombóngo ya élektroniki"
e-mail (email);""
e-mail address;"adɛlɛ́sɛ ímɛlɛ"
e-mail client;"kiliyá ímɛlɛ"
e-mail server;"sɛrvɛ̀rɛ ya ímɛlɛ"
e-mail;"ímɛlɛ"
e.g.;"nd"
e.g;""
each;"elɔ́kɔ na elɔ́kɔ,"
earlier;"ya yambo"
easier;"ya mpási tɛ̂"
east;"ɛ́sti, moniɛlɛ"
easy;"mpási tɛ̂"
echo;"ɛkɔ"
edge;"ndelo"
edit as new message;""
edit bookmarks;""
edit menus;""
edit saved search;""
edit search folder;""
edit;"kobɔngisa"
editable;"ya kobɔngisa"
edited;"ebɔngísámí"
editing mode;""
editing;"libɔngeli"
edition;"édisío"
editor font;""
editor;"ebɔngele"
education;""
effect;"ekelisi"
effects;""
eject (disk);""
eject;"kobimisa"
ejected;""
elapse;""
elapsed;"eza kosíla"
electronic mail;""
electronic;"élektroniki"
element;"elema"
ellipse;"elípisi"
elliptical;"lokola elípisi"
email address;""
email;""
embarrassed (smiley);""
embed;"etíamí o káti"
embedded;"eyigísámí"
emboss;""
embossed;""
emoticon;"elembo sáí"
emphasis;"bongóngisi"
empty foundation;""
empty presentation;""
empty trash;""
empty;"kotíka mpámba"
emptying the trash;""
emulate;""
emulation;""
emulator;"emilátɛlɛ"
enable animations;""
enable debugging code;""
enable networking;""
enable search;""
enable;"kolamusa"
enabled;"elamúsámí"
enabling;"kolamusa"
encapsulate;""
encapsulated postscript;""
enclosing character;""
enclosure;""
encode;"koakɔdɛ"
encoded;"ya koakɔdɛ"
encoder;"akɔdɛ̀rɛ"
encoding;"akɔdaze"
encounter;""
encrypt;"kokriptɛ"
encrypted data;""
encrypted;"ya kokriptɛ"
encryption;"kriptaze"
end date;"mokɔlɔ ya súka"
end user;"mosáleli wa súka"
end;"súka"
endless;""
endnote;"makomí ma súka"
engine;"motɛ́lɛ"
engineering;""
english;"angɛlɛ́"
engraved;""
enhance;"kobakisa"
enhanced;"ebakísámí"
enhancement;"bobakisi"
enlarge;"kotandola"
enlargement;""
enough;"ya kokoka"
enter / enter key;"túsi bondimi"
enter password for user;""
enter;"Kokɔ́tisa"
entered;"ya kokɔ́tisa"
entertainment;"bosepelísi"
entire column;""
entire row;""
entire;"mobimba"
entity;""
entries;""
entry;"bokɔ́ti, kɔ́tɔ"
envelope;"libénga, avelopi"
environment variable;""
environment;"bonzíngazínga"
epiphany web browser;""
equal sign;"ekókí, ekómí"
equalizer;""
equation;""
erase;"kokúniola"
error checking;""
error code;"kɔdɛ ya zíko"
error handling;""
error message;"nsango ya zíko"
error occured;"zíko esálémí"
error printing;""
error report;"lizóngisi lia zíko"
error;"libúngá, fɔ́ti, zíko"
escape key / esc;"túsi bobimi"
escape;"kotíka"
estimate;"kotíya motúya"
estimated;"ya kokanisa"
estonian;""
ethernet;"Ɛtenéti"
euro converter;""
europe;"Eropa, Mpútú"
european;"moí-Eropa"
evaluate;"kotúya"
evaluation version;"versío ya botúyi"
evaluation;""
even number;""
even page;""
even;"líbalé"
evenly;""
event;"évenemá, ekelá"
every time;""
evince;""
evolution;""
exact;"ya sɔ̂lɔ́"
examine;"kotála"
example;"emekiseli"
exceed;"koléka"
exceeded;"elékí, ya koléka"
exception;"mbéba"
exchange database;""
exchange;"kosɔmbitinia"
exclamation mark / exclamation point;"elembo ya ligángisi"
exclude;"kolongola"
exclusive or;""
executable file;""
executable;"kásá etámbuisi"
execute;"kobanda"
exist;""
existing;"ezálí"
exit;"kobima"
exiting;"kobima"
expand (directory);""
expand all threads;""
expand slide;""
expand;"Kolíngola"
expanded memory;""
expanded spacing;""
expanded;"etándólámí"
expansion;""
expect;"kokána"
expected location;""
expected;"ezélámí"
expecting;"kokána"
experienced;"ya kosíla kosálela"
expiration;"súka, bosílisi"
expire;"kosíla"
expired;"ya kosíla"
explain;"kolimbola ntína"
explanation;"ndimbola, bolimboli"
explicit state;""
explore;"kotálatala"
explorer (program);""
explorer;"motálitali"
exponential notation;""
export as pdf;""
export as;"komɛmɛ epaí na"
export;"komɛmɛ epaí"
exposure;"litálísí"
expression;"likomi"
expunge;""
extend;"koninola, kobakisa"
extended selection;""
extended tips;""
extended;"ebákísámí, ya kobakisa"
extensible;""
extension (file);""
extension;"libakisi"
extensions;""
external tools;""
external;"na libándá"
extra;"estrá"
extracondensed;""
extract;"kobíla na"
extraction;""
extraexpanded;""
extrusion;""
eye of gnome;""
eyedropper;""
facility personnel;""
factorial;""
factory setting;"palamɛ́tɛlɛ ya lizíni"
fade in;"niángwí ya bokɔ́ti"
fade out color;""
fade out;"niángwí ya bobimi"
fail;"kosenzola"
failed;"ekatáni, esenzólámí"
failsafe terminal;""
failure;"senza, éshɛ́ki"
fallback;"likitani"
false;"lokúta, fɔ̂"
family name;""
family;"libotá"
fan;"epɛpɛlɛ"
faq (frequently asked question);""
faq / frequently asked questions;"MPB/ mitúna pé biyano"
fast forward;"kotámba nɔkí"
fast;"nɔkí"
faster;"nɔkínɔki"
fastest;""
fatal;"ya libomí"
fault;""
favorite folder;"dosíyé favoli"
favorite;"favoli, nséku"
fax;"fakisi"
feature;"likoki"
february;"sánzá ya íbalé, febwáli"
feed (newsfeed);""
feed;"fidɛ"
feedback;"eyanoli"
feet;""
female;"ya mwási"
fetch;"kokɛndɛ koluka"
fetching;"kokɛndɛ koluka"
fewer;"mokɛ́ koleka"
field names;""
field shadings;""
field;"ntáká"
fields;""
figure;"eléngé"
file already exists;""
file as;""
file browser;"molúki kásá"
file chooser;""
file does not exist;""
file exists;""
file extension;"esúkia ya kásá"
file format;"libɔngi lia kásá"
file input (form html);""
file management;""
file manager menu;""
file manager;""
file name;""
file not found;""
file pointer;""
file size;"bonɛ́nɛ bwa kásá"
file submission;""
file system;"lisánga lia kásá"
file transfer;""
file transfers;""
file type;""
file;"kásá"
filename;"nkómbó ya kásá"
filesystem;""
filetype;"típɛ ya kásá"
filing cabinet;""
fill;"kotóndisa"
filled;"etóndísámí, ya kotóndisa"
filter;"ekɔngole"
final angle;""
final;"finalɛ"
find & replace;""
find again;""
find in message;""
find in this page;""
find next;"kokúta elándi"
find now;""
find previous;"kokúta elékí"
find;"kokúta"
finder;"etálitali"
finding;"kolópola"
fine line;""
finger;"lindɔngɛ"
finish;"kosíla, kosílisa"
finished;"esílí"
finishing;""
finnish;""
firefox web bowser;""
firefox;""
firewall;"edúki"
firmware;"etámbuisi bɔngɔ́"
first name;"nkómbó ya yambo"
first;"ya yambo"
fish;""
fit on screen;""
fit page width;""
fit to frame;""
fit;"kokokisana"
fix;"kosála bobɔngisi"
fixed font;""
fixed width;""
fixed-width font;"polósi ya libale ebɔngísámí"
fixed;"bobɔngisi esálémí."
flag;"kotíya bendɛ́lɛ ekɛ́"
flagged;""
flash drive;"Flashi"
flash;"flasi"
flat;"patátálú"
flip;"kobumbola"
float (verb);""
float;""
floating frame;""
floating point number;""
flood;""
floor;""
floppy disk drive;""
floppy drive;""
floppy;""
flow analysis;""
flow chart;""
flow control;"bokɛ́ngɛlɛ mwémbé"
flow;"bwémbé"
flowchart;""
fly out;""
flyout menu;"ménu ya botúmoli"
focal;""
focus;"kobambinya"
focused;"ya kobambinya"
fold mark;""
folder does not exist;""
folder;"ebómbi, dosíyé, valisi"
follow symbolic links;""
follow-up;"kolanda"
font color;"lángi lia bikomá, polósi"
font effect;"ekelisi ya polósi"
font family set;""
font points;""
font selector button;""
font selector dialog;""
font size set;""
font size;"dimasío ya polósi"
font stretch set;""
font stretch;""
font style set;""
font style;"stílɛ ya polósi"
font variant set;""
font variant;""
font weight set;""
font weight;""
font;"polósi"
fonts;""
fontwork;""
foot-in-mouth (smiley);""
foot;""
footer;"nsé ya lonkásá"
footnote;"makomí o nsé ya lonkásá"
footnotes;""
forbidden;"epékísámí"
force quit;""
force;"kosɛngisa"
forecast;""
foreground application;"esalisela na mosálá"
foreground color;""
foreground set;""
foreground task;"lotómo na bosóbosó"
foreground;"bosóbosó"
foreign;"ya mompaya"
forever;""
forget passwords;""
fork;""
form letter;""
form;"formilɛ̀rɛ"
format (noun);""
format (verb);""
format;"libɔngi, foloma"
formatted;"ebɔngísélámí"
formatting bar;""
formatting mark;""
formatting;"libɔngisela"
formula bar;""
formula;"formilɛ"
forum;"forɔme"
forward as;""
forward contact;""
forward slash;"silashi"
forward;"kotínda"
forwarded message;""
forwarded;"etómámí"
found;"emónání"
fourier analysis;""
fraction;""
fragment;""
frame set;""
frame;"monkala, framɛ"
frameset;"monkalaka, framɛseti"
framework;""
free news letters;""
free software;""
free/busy information;""
free/busy;""
free;""
freeware;"etámbuisi nsɔ́mí, friwɛrɛ"
freeze;""
french;"lifalasɛ́"
frequency;"fɛlɛ́kasi"
frequently;"mbala míngi"
friday;"mokɔlɔ mwa mítáno"
friend;"móníngá"
from template;""
front end;"etanda ya mosáleli"
front;"bosó"
frown (smiley);""
ftp / file transfer protocol;""
ftp;""
full control;""
full duplex transmission;""
full name;"nkómbó mobimba"
full pathname;""
full screen mode;"modɛ ya emɔ́niselo mobimba"
full screen;"emɔ́niselo mobimba"
full version;"versío ya mobimba"
fully qualified form;""
function bar;""
function list;""
function;"litómo, fɔksío"
functionality;"lisáleli"
fuzzy;"polélé tɛ̂, fuzi"
gadu-gadu;""
gallery;"galéri, ndáko ya bilílí"
game over;""
game;"Lisano"
gamma;""
gap;""
gateway;"ngbangba"
generate;"kobóta"
generating;"Kobóta"
generation;""
generator;"zénératɛlɛ"
generic error;""
generic;"zénériki"
genre;""
geometric shape;""
geometric;""
geometry;""
get user info;""
get;"kozwa elɔ́kɔ"
gigabyte;"gibi-okté"
given name;""
glass;""
global menu;""
global;"ya mobimba"
glossary;"búkú ya maloba, glosɛlɛ"
glue point;""
glue points;""
gnome display manager;""
gnome footprint;""
gnome panel;""
gnome terminal;""
gnome;""
gnu;""
go back;"kozónga sima"
go forward;"kokɛndɛ libosó"
go to line;""
go to;"kokɛndɛ na"
goal seek;""
google;""
gouraud;""
gpl;""
gps / global positioning system;"GPS / sistɛ́mɛ ya boyebi bisíká"
grab;""
gradient;""
grain;""
grammar;"galamɛlɛ"
grant permission;"kopésa nzéla"
graph;"liyema"
graphic design;"bokelami na biyémi"
graphic;"grafiki"
graphical user interface;""
graphical;""
graphics;""
gray-scale;""
gray;"mbwi"
grayscale;"ebutele lia mbwi"
greater than;"monɛ́nɛ míngi koleka"
green;"dɛɛ́, dɛ́"
grid;"griyaze, eténiténi"
gridline;"kadríyaze"
group box;""
group by threads;""
group name;""
group;"gulupɛ, lingómba"
gthumb image viewer;""
gtk+;""
gtk;""
guard;""
guess;""
guest;"mobéngi"
gui / graphical user interface;"etanda lia bosáleli"
gui;""
guide;"búku ya bosáleli"
guideline;"mosisé"
guides;""
gutter;""
hacker;""
half duplex transmission;""
half;"ndámbo"
hand-held;"ya bokoki ya lobɔ́kɔ"
hand;"lobɔ́kɔ"
handle (noun);""
handle (of object);""
handle (verb);""
handle;"kosála na"
handler;""
handout page;""
handout;""
handshake;""
hang up;"kokátahardware"
hanging indent;""
hard disk;""
hard drive;"disiki-enɛ́nɛ"
hardware;""
hash;""
hatch;""
hazardous;""
head;""
header;"likoló lia lonkásá"
headers & footers;""
heading;"litɛ́mɛ"
headline;"títɛ"
headphones;"kásiki"
headset;""
headword;""
hebrew visual;""
hebrew;""
height of the window;""
height;"bosándá"
hello world;""
help contents;""
help;""
helper application;""
hex;""
hexadecimal number;""
hexadecimal;""
hibernate;""
hidden file;""
hidden paragraphs;""
hidden;""
hide button;""
hide deleted messages;""
hide read messages;""
hide selected messages;""
hide;""
hierachy;""
hierarchy;""
high contrast;""
high light;""
high priority;""
high security;""
high;""
higher;""
highest;""
highlight color;""
highlight current line;""
highlight mode;""
highlight...;""
highlight;""
highlighted;""
hint;""
hiragana;""
his/her;""
histogram;""
history;""
hit;""
hold down;""
hold;""
home directory;""
home folder;""
home page;""
home phone;""
home;""
homepage;""
homogeneous environment;""
homogeneous;""
hop;""
horizontal adjustment;""
horizontal alignment;""
horizontal line;""
horizontal ruler;""
horizontal scrollbar;""
horizontal;""
horizontally;""
host name;""
host;""
hostname;""
hot key;""
hot list;""
hotkey;""
hotplug;""
hotspot;""
hour format;""
hour;""
housekeeping;""
hpa;""
html;""
http;""
hue;""
hungarian;""
hyperlink;""
hypertext;""
hyphen;""
hyphenate;""
hyphenation;""
i/o subsystem;""
icon name;""
icon selector button;""
icon selector dialog;""
icon size;""
icon view;""
icon;""
icq;""
id / identification;""
id;""
ide;""
identifier;""
identify;""
identity theft;""
identity;""
idiom;""
idle time;""
idle;""
ignore all;""
ignore;""
ignoring;""
illegal;""
illumination;""
illustration;""
im / instant message / instant messaging;""
image data;""
image file;""
image map;""
image size;""
image viewer;""
image/label border;""
image;""
imagemap;""
implement;""
implementation;""
implemented;""
implicit;""
import;""
important;""
imported;""
importing;""
improper;""
improve;""
in progress;""
in the future;""
in-line;""
inactive window;""
inactive;""
inbox;""
inch;""
include;""
incoming server;""
incoming;""
incompatible;""
incomplete;""
inconsistent;""
incorrect;""
increase;""
increment;""
incremental update;""
incrementally search;""
increments;""
indent value;""
indent;""
indentation;""
index entry;""
index mark;""
index;""
indexes and tables;""
indicator size;""
indicator;""
indice;""
individual;""
indonesian;""
infect;""
infected file;""
infected;""
infinite;""
infinity;""
info;""
information technology;""
information;""
infrared;""
inhg;""
initial;""
initialization;""
initialize (computer);""
initialize (storage medium);""
initialize (variable);""
initialize;""
initials;""
initiate;""
initiation;""
inline frame;""
inline;""
inner join;""
inner;""
innocent (smiley);""
inode;""
input box;""
input field;""
input mask;""
input method status;""
input method;""
input methods;""
input-output analysis;""
input/output;""
input;""
inquire;""
inscription;""
insecure;""
insensitive version;""
insert data;""
insert date and time;""
insert spaces;""
insert;""
inserted;""
insertion point;""
install;""
installation;""
installed;""
installer;""
installing;""
instance;""
instant message;""
instantiate;""
instruction pointer;""
instruction;""
insufficient permissions;""
insufficient;""
integer;""
integral;""
integrate;""
integrated circuit;""
integrated desktop;""
integrated;""
integration;""
integrity;""
intensity;""
interaction;""
interactive search;""
interactive;""
interactivity;""
intercept;""
interchange file format;""
interface;""
interlaced;""
intermediate;""
internal bug;""
internal error;""
internal;""
international;""
internet connection;""
internet messenger;""
internet time;""
internet;""
interoffice;""
interpret;""
interrupt;""
intersect;""
intersection;""
interval;""
introduction;""
intruder;""
intuitive;""
invalid filename;""
invalid signature;""
invalid uri;""
invalid;""
inverse;""
invert selection;""
invert;""
inverted;""
invest;""
invisible;""
invitation;""
invite;""
invoke;""
inward;""
ip / internet protocol;""
ip address;""
ip telephony, voip and video conferencing;""
ip;""
irc (internet relay chat);""
irc / internet relay chat;""
irc;""
isp (internet service provider);""
isp / internet service provider;""
issue to;""
issue;""
issued;""
issuer;""
it / information technology;""
italic;""
item;""
iteration;""
jabber;""
jack;""
jag;""
jagged;""
jam;""
january;""
japanese;""
javascript console;""
jaz drive;""
job;""
join;""
journal;""
joy stick;""
jpeg / jpg;""
jpeg;""
july;""
jump;""
june;""
junk mail;""
junk;""
justification;""
justified;""
justify;""
katakana;""
kb / kilobyte;""
kb;""
kde;""
keep aligned;""
keep ratio;""
keep running;""
keep track;""
keep;""
kern;""
kernel;""
key (encryption);""
key (searching);""
key (typing);""
key in;""
key stroke;""
key word;""
key;""
keyboard handling;""
keyboard indicator;""
keyboard plugin;""
keyboard preferences;""
keyboard shortcut;""
keyboard shortcuts;""
keyboard;""
keymap control;""
keypad;""
keyring manager;""
keystroke;""
keyword;""
kill app;""
kill;""
kilobyte;""
king;""
km/h;""
knots;""
knowledge;""
korean;""
kpa;""
label text;""
label widget;""
label;""
lag;""
lambda;""
lan (local area network);""
lan / local area network;""
landscape orientation;""
landscape paper;""
landscape;""
language pack;""
language settings;""
language support;""
language;""
lao;""
laptop;""
large print;""
larger;""
largest;""
laser;""
last modified;""
last name;""
last session;""
last visited;""
last;""
latex;""
lathe object;""
latin;""
latvian;""
laughing (smiley);""
launch icon;""
launch;""
launcher;""
layer;""
layout style;""
layout;""
ldap server;""
leap year;""
learn;""
leave fullscreen mode;""
leave fullscreen;""
leave;""
leaving;""
left arrow;""
left click;""
left join;""
left margin;""
left mouse button;""
left to right;""
left-click on;""
left-to-right;""
left;""
legal;""
legend;""
length;""
lens;""
letter-like symbol;""
letter;""
letterhead;""
level;""
library;""
license agreement;""
license;""
licensed;""
light precipitation;""
light;""
limit;""
limited;""
limits;""
line arguments;""
line begin (begin of line);""
line break;""
line color;""
line joint;""
line numbering;""
line skew;""
line weight;""
line wrap;""
line;""
linear transfer;""
linear;""
link to external data;""
link;""
linked;""
links;""
linux;""
lips are sealed (smiley);""
list all;""
list box;""
list item;""
list of available;""
list view;""
list;""
listed;""
listen;""
listener;""
listing;""
literal;""
lithuanian;""
live bookmark;""
live mode;""
live;""
load images;""
load;""
loaded;""
loading;""
local address books;""
local;""
locale;""
localization;""
locate;""
located in;""
location;""
lock screen;""
lock the screen;""
lock to panel;""
lock;""
locked file;""
locked;""
log file;""
log in / login;""
log in anyway;""
log in;""
log off;""
log on;""
log out root;""
log out;""
log;""
logged in;""
logged;""
logging in;""
logging;""
logical height;""
logical number;""
logical volume management;""
logical;""
login screen;""
login window;""
login;""
logo;""
logout;""
long description;""
look and feel;""
look for;"Koluka"
look in;""
look up;""
look;""
lookup;""
loop;""
loose;""
lost connection;""
low;""
lower-case;""
lower;""
lowercase;""
lowered position;""
lowest;""
m.sec. (millisecond);""
m/s;""
machine language;""
machine operator;""
machine;""
macro;""
macros;""
magenta;""
magnetic tape;""
magnification;""
mail box;""
mail client;""
mail merge (form letter);""
mail merge wizard;""
mail server;""
mail to;""
mail;""
mailbox;""
mailer;""
mailing list;""
main board;""
main body;""
main menu button;""
main menu;""
main title;""
main toolbar;""
main;""
mainboard;""
maintain;""
maintainer;""
maintenance;""
major gridline;""
major interval mark;""
major interval;""
make links;""
male;""
malformed;""
malfunction;""
malware;""
man pages;""
manage bookmarks;""
manage custom sizes;""
manage;""
management information system;""
management;""
manager (program);""
manager;""
mandatory;""
manipulate;""
manual break;""
manual page;""
manual;""
manually;""
manufacturer;""
map;""
mapped;""
mapping;""
march;""
margin;""
marginalia;""
margins;""
mark all message as read;""
mark as;""
mark;""
marked;""
markup;""
marquee;""
mask;""
master document;""
master field;""
master password;""
master;""
match case;""
match;""
matched;""
matching;""
math;""
maximise;""
maximize;""
maximized;""
maximum length;""
maximum value;""
maximum width;""
maximum;""
may;""
md5 fingerprint;""
md5;""
mdi;""
mean;""
meaning;""
measure;""
measurement unit;""
measurement;""
mechanism;""
media player;""
media type;""
media;""
median;""
medium;""
meeting information;""
meeting;""
megabyte;""
member;""
membership;""
memo list;""
memo;""
memorandum;""
memory;""
menu bar;""
menu item;""
menu layout;""
menu panel;""
menu title;""
menu tree pane;""
menu;""
menubar;""
menus & toolbars;""
merge cell;""
merge table;""
merge;""
merged;""
merging;""
message body;""
message box;""
message contains;""
message filters;""
message source;""
message;""
messenger;""
meta;""
metacity;""
metadata;""
metafile;""
metal;""
meter;""
method;""
metric;""
metrics (metric system);""
microphone;""
middle mouse button;""
middle;""
midi;""
migrate;""
migration;""
mile;""
milligram;""
milligrams;""
millimeter;""
millisecond;""
milliseconds;""
mime type;""
mini icons;""
minimize;""
minimum;""
minix;""
minor faults;""
minor gridline;""
minor interval mark;""
minor interval;""
minor;""
minus sign;""
minus;""
minute;""
mirror;""
miscellaneous;""
mismatch;""
missing;""
misspell;""
misspelled;""
mist;""
mistake;""
mix;""
mixer device;""
mixer;""
mmhg;""
mobile phone;""
mobile;""
modal (value);""
modal;""
mode;""
model;""
modem;""
moderated;""
moderator;""
modification;""
modified;""
modifier;""
modify;""
module;""
moment;""
monday;""
money-mouth (smiley);""
monitor (hardware);""
monitor program;""
monitor;""
monitored;""
monitoring;""
mono;""
monochrome;""
month view;""
month;""
more preferences;""
more;""
morphing;""
mosaic;""
motion;""
mount;""
mounted;""
mouse cursor;""
mouse keys;""
mouse over;""
mouse pointer;""
mouse preferences;""
mouse;""
move all contact to;""
move contact to;""
move down;""
move folder to...;""
move tab to the left;""
move tab to the right;""
move to folder;""
move to new window;""
move to trash;""
move up;""
move;""
moved;""
movement;""
movie and sound;""
movie;""
moving;""
mph;""
ms;""
msdos;""
msn;""
mtu;""
multi operation;""
multi-select;""
multi-touch;""
multi-user system;""
multi;""
multimedia system selector;""
multimedia systems selector;""
multimedia;""
multimeter;""
multiple operations;""
multiple recipients;""
multiple;""
multiplication sign;""
multiply;""
multiselection;""
multitasking;""
munger;""
music player;""
music;""
mute sounds;""
mute;""
muted;""
n/a;""
name contains;""
name;""
named;""
names;""
namespace;""
narrow;""
nautilus;""
navigate;""
navigation pane;""
navigation toolbar;""
navigation;""
navigator (program);""
navigator;""
near;""
nearest;""
negation;""
negative binomial;""
negative;""
neighbor;""
nested table;""
netiquette;""
netmask;""
netscape;""
netstat;""
network administrator;""
network connection;""
network interface;""
network monitor;""
network places;""
network proxy;""
network server;""
network servers;""
network settings;""
network tools;""
network topology;""
network;""
new address book;""
new calendar;""
new contact list;""
new contact;""
new folder;""
new game;""
new instant message;""
new meeting;""
new memo list;""
new message;""
new panel;""
new profile;""
new release;""
new tab;""
new task list;""
new window;""
new;""
news group;""
news server;""
news site;""
news;""
newsfeed;""
newsgroup;""
newsletter;""
next document;""
next tab;""
next;""
nick name;""
nickname;""
no description;""
no effect;""
no error message;""
no error;""
no hint available;""
no name;""
no results;""
no summary;""
no-daemon;""
no;""
node;""
noise;""
non-breaking hyphen;""
non-breaking space;""
non-convertible;""
non-printing character;""
none;""
nonprinting characters;""
normal distribution;""
normal size;""
normal;""
north;""
not a directory;""
not a regular file;""
not available;""
not changed;""
not configured;""
not connected;""
not correct;""
not created;""
not defined;""
not displayed;""
not enabled;""
not encrypted;""
not enough memory;""
not enough space;""
not found;""
not installed;""
not loaded;""
not logged in;""
not ready;""
not recognized;""
not sent;""
not set;""
not shown;""
not started;""
not supported;""
not valid;""
not visible;""
not;""
notation;""
note indicator;""
note;""
notebook;""
notes page;""
notice;""
notification area;""
notification;""
notify;""
november;""
null;""
num lock;""
number converter;""
number format;""
number of channels;""
number of rows;""
number of;""
number pad;""
number theory;""
number;""
numbered list;""
numbered;""
numbering;""
numeral;""
numerator;""
numeric;""
numerical;""
object (goal);""
object (subject);""
object (thing);""
object code;""
object;""
oblique;""
obscure;""
observations;""
obsolete;""
occur;""
occurence;""
occurred;""
occurrence;""
octal number;""
octet;""
october;""
odd number;""
odd;""
off;""
office;""
offline;""
offset;""
ok;""
on screen keyboard;""
on this computer;""
on;""
ongoing;""
online help;""
online shopping;""
online;""
opacity;""
opaque;""
open a file;""
open a new window;""
open existing presentation;""
open file;""
open files;""
open folder;""
open in new window;""
open in terminal;""
open location;""
open parent;""
open source;""
open tab;""
open terminal;""
open windows menu;""
open with;""
open;""
opened;""
opengl;""
opening;""
operand;""
operate;""
operating system;""
operating;""
operation (math);""
operation cancelled;""
operation;""
operator;""
opposite;""
optimal wrap;""
optimal;""
optimize;""
optimized;""
option;""
optional;""
options;""
or;""
orange;""
orca screen reader;""
order;""
ordinal number;""
organization;""
organize;""
organized;""
organizer;""
orientation;""
origin;""
original;""
orphan;""
orthflow;""
out of memory;""
out of range;""
out;""
outbox;""
outdated;""
outer join;""
outer;""
outgoing server;""
outgoing;""
outline (font effect);""
outline numbering;""
outline;""
output;""
outward;""
oval;""
overflow;""
overhang;""
overhead sheet;""
overlap;""
override;""
overview;""
overwhelming;""
overwrite;""
owner;""
pack;""
package manager;""
package;""
packet;""
padding;""
page break preview;""
page break;""
page composer;""
page count;""
page down;""
page info;""
page layout;""
page number;""
page orientation;""
page preview;""
page setup;""
page size;""
page source;""
page style;""
page up;""
page;""
pager;""
pages per sheet;""
paginate;""
paint can;""
paint;""
paintbrush;""
pair;""
palette entry;""
palette;""
palmos devices;""
pane;""
panel menu;""
panel;""
panelize;""
paper size;""
paper;""
paragraph break;""
paragraph spacing​;""
paragraph style;""
paragraph;""
parallel;""
parameter;""
parcel;""
parent;""
parentheses;""
parity;""
parse;""
parser;""
parsing;""
partial;""
participant;""
partition;""
pass count;""
pass;""
passage;""
passphrase;""
password quality meter;""
password required;""
password;""
paste special;""
paste the clipboard;""
paste;""
patch (noun);""
patch (verb);""
patch;""
path;""
pathname;""
pathnames;""
pattern;""
pause;""
paused;""
pdf / portable document format;""
pdf;""
peak indicator;""
peak;""
pearson correlation;""
peer;""
pend;""
pending signals;""
pending;""
people;""
per;""
percent;""
percentage;""
perform;""
performance;""
performed;""
performing;""
period;""
periodic;""
peripheral;""
perl script;""
perl;""
permanent;""
permanently;""
permission;""
permissions;""
permit;""
permitted;""
permutation;""
personal address book;""
personal file sharing;""
personal information;""
personal profile;""
personal toolbar folder;""
personal;""
personalization;""
personalize;""
perspective;""
phishing;""
phone list;""
phone;""
phonetic;""
photo;""
photosensitivity;""
phrase;""
physical memory;""
physical;""
pick a color;""
pick;""
picker button;""
picker settings;""
picker;""
picture box;""
picture;""
pid;""
pie;""
piece;""
pilot device;""
ping;""
pink;""
pipe;""
pirate;""
pitch;""
pix map;""
pixbuf;""
pixel;""
pixels above lines;""
pixels below lines;""
pixels inside wrap;""
pixmap;""
place;""
placeholder;""
placement;""
places;""
plain text;""
plain;""
plane;""
platform;""
play (cd);""
play a sound;""
play sound;""
play;""
playback;""
player;""
playing;""
playlist;""
please enter your user name;""
please wait;""
please;""
plot (verb);""
plot;""
plotter;""
plug and play;""
plug in;""
plug-in;""
plugin;""
plus sign;""
point to;""
point;""
pointer;""
points;""
poisson distribution;""
poker;""
policy;""
polish;""
polygon;""
polyline;""
pool;""
pooled variance;""
pop art;""
pop up;""
pop-up menu;""
pop-up;""
popular;""
popup menu;""
popup window;""
port;""
portable;""
portal;""
portion;""
portrait orientation;""
portrait paper;""
portrait;""
position and size;""
position;""
positioned;""
positive;""
possible;""
post a reply;""
post new message to folder;""
post office;""
post processor;""
post;""
postal box;""
postal code;""
poster;""
posterize;""
posting;""
postmaster;""
postscript;""
posture;""
power management;""
power manager;""
power;""
ppp;""
preceding;""
predefined;""
prediction;""
prefer;""
preference;""
preferences;""
preferred applications;""
preferred height;""
preferred width;""
preferred;""
prefix;""
preformat;""
preformatted text;""
prepare;""
prerequisite;""
presentation wizard;""
presentation;""
preset;""
presiding;""
press;""
pressed in;""
pressed;""
pressure;""
prevent;""
preview;""
previous document;""
previous tab;""
previous;""
price;""
primary colors;""
primary key;""
primary;""
principal;""
print area;""
print document;""
print job;""
print layout;""
print optimized;""
print page view;""
print preview;""
print range;""
print ranges;""
print;""
printable;""
printed;""
printer settings;""
printer-friendly;""
printer;""
printing;""
printout;""
priority;""
privacy;""
private key;""
private messages;""
private;""
priviledge;""
privilege;""
privileges;""
probe;""
problem;""
procedure;""
proceed;""
process id;""
process;""
processing;""
processor;""
prodigy;""
product;""
profession;""
profile manager;""
profile;""
profiles;""
program manager;""
program;""
programmer;""
programming;""
progress bar;""
progress;""
project management;""
project;""
projection;""
projector;""
promote;""
prompt;""
propagation;""
properties;""
property;""
