3-d;"etando mísátoabbreviation"
audio device;""
audio disc;""
audio files;""
audio output;"kabo odió"
audio player;"etángeli kabo odió"
audio;"ya boyóki, odió"
august;"sánzá ya mwabe, augústo"
authenticate;"kotála bosɔ̂lɔ́"
authenticated;"endimámí sɔ̂lɔ́"
authentication;"bosɔ̂lɔ́"
author;"mokomi, mokeli"
authority;"bokonzi"
authorization;"ndingisa"
authorize;""
authorized;"elingísámí"
auto completion;""
auto configuration;"mɛ́i-libɔngeli"
auto detection;""
auto filter;""
auto fit to;""
auto-load;""
auto;"mɛ́i - auto completion"
autoabstract;""
autoanswer;""
autocheck spelling;""
autocomplete;"mɛ́i-kokoma"
autocompletion;""
autocorrect;"||  bold_italic_  ||  italic"
autodetect;"mɛ́i-komóna"
autodetection;"mɛ́i-bomóni"
autofill;"mɛ́i-kotóndisa"
autofilter;"mɛ́i-ekɔngoli"
autofit;"mɛ́i-boɛngɛbinii"
autoformat;"mɛ́i-libɔngi"
autoincrement;""
autoload;"mɛ́i-kotómbisa"
automail;""
automated office;""
automatic update;"mɛ́i-botíyi sika"
automatic;"mɛ́i-automation"
automatically;"ya mɛ́i- average"
automation;""
autopilot;""
autorun;"mɛ́i-kosálela"
autosave;"mɛ́i-bombómbisi"
autoscroll;""
autotext;""
availability;"bozali sei"
available palettes;""
available;"ezalí sei"
average;""
avoid;"kokíma"
aware;"koyébá"
axis;"ákisi"
back button;"lipúngu bozóngi, buto bozóngi"
back door;""
back end;"etando sima"
back-end;""
back;"bozóngi"
backbone;""
background application;"esaliseli o simasima"
background color name;""
background color;"lángi lia simasima"
background image;"elílí ya simasima"
background set;""
background task;"mosálá o simasima"
background;"simasima"
backgrounds and emblems;""
backlog;""
backslash;"atísilashi"
backspace;"túsi bozóngi"
backup copy;"kopi ya bobikisi, libíkisi"
backup;"libíkisi"
backward;"na sima"
bad area;""
bad disk;""
bad sector;"sɛkɛtɛ́lɛ ya kobeba"
bad;"na mbébabad disk"
balance;"bokokanisibanner"
ban;"kikilisa"
bandwidth (digital device);""
bandwidth (radio);""
bandwidth;"libale la kanó"
banned;"ekilísámí"
banner;""
bar chart;""
bar code;""
bar;"barɛ"
barcode;"kɔdɛbarɛ"
base 10;""
base 16;""
base 2;""
base 8;""
base line;""
base;""
basic;"mpási tɛ̂batch"
batch file;""
batch;""
battery charge monitor;""
battery;"batéri"
baud;"bau"
bcc (blind carbon copy);""
bcc / blind carbon copy;"kopí ebátámí"
bcc;""
beamer;"elakisi vidéyo"
beep;"bípɛ"
begin of word;""
begin;"kotóndola,kobanda"
beginning;"ebandela"
begins with;"ebandí na"
behavior;"etámbolela, ezalela"
behind;"sima ya"
belonging;"kozala mɔ̌kɔ́ ya"
below;"o/na nsé"
beneath;"nsé"
best fit;""
beta;"bɛta"
bibliography database;""
bibliography entry;""
bibliography;""
bigger;"monɛ́nɛ koleka"
binary number;""
binary system;""
binary;""
bind;""
binding;""
binomial distribution;""
birthday;"bokundoli"
bit;"bítɛ"
bitmap;"bítɛmapɛ"
black;"moíndo"
blank cd-r disc;""
blank cd-rw disc;""
blank document;"dokimá bulanki"
